"industrySlug","industryPageRef","moduleType","headline","body","statValue","statLabel","mediaImage","mediaImageAlt","buttonLabel","buttonUrl","badgeText","sortOrder","isActive"
"wix-seller-financing","","use_of_funds_card","Common funding uses in Wix Seller","Common uses include inventory purchases, paid acquisition campaigns, fulfillment expenses, and working capital support for operating continuity.","","","","","Start Your Application","/apply","Common Need","1","true"
"wix-seller-financing","","qualification_card","What Wix Seller operators should have ready","Have recent bank statements, revenue records, and a clear use-of-funds plan ready. Include seasonality and major expense context where relevant.","","","","","Talk With Our Team","/contact","Preparation","2","true"
"wix-seller-financing","","process_card","How the review process works","Submit the application, provide requested documentation, and review available terms if qualified. Final timing depends on underwriting and file quality.","","","","","Start Your Application","/apply","Process","3","true"
"ecommerce-business-funding","","use_of_funds_card","Common funding uses in Ecommerce Business","Ecommerce funding is often used for inventory buys, marketing execution, fulfillment costs, and short-term working capital coverage.","","","","","Start Your Application","/apply","Common Need","1","true"
"ecommerce-business-funding","","qualification_card","What Ecommerce Business operators should have ready","Prepare recent business bank statements, sales evidence, and a practical plan for inventory, acquisition, and fulfillment spending.","","","","","Talk With Our Team","/contact","Preparation","2","true"
"ecommerce-business-funding","","process_card","How the review process works","Complete the application, submit requested records, and review terms if eligible. Turnaround depends on documentation completeness.","","","","","Start Your Application","/apply","Process","3","true"
"restaurant-funding","","use_of_funds_card","Common funding uses in Restaurant","Restaurant operators commonly use funding for payroll continuity, inventory replenishment, equipment needs, and operating reserves.","","","","","Start Your Application","/apply","Common Need","1","true"
"restaurant-funding","","qualification_card","What Restaurant operators should have ready","Prepare recent bank statements, business performance records, and a use-of-funds summary aligned to operating priorities.","","","","","Talk With Our Team","/contact","Preparation","2","true"
"restaurant-funding","","process_card","How the review process works","Submit the application, provide requested financial records, and review available terms if qualified. Timeline varies by underwriting requirements.","","","","","Start Your Application","/apply","Process","3","true"
"trucking-funding","","use_of_funds_card","Common funding uses in Trucking","Typical uses include fuel costs, payroll, maintenance events, and working capital support for receivable timing gaps.","","","","","Start Your Application","/apply","Common Need","1","true"
"trucking-funding","","qualification_card","What Trucking operators should have ready","Have recent bank statements, revenue documentation, and operating cost detail ready, including context on receivable timing.","","","","","Talk With Our Team","/contact","Preparation","2","true"
"trucking-funding","","process_card","How the review process works","Apply with core business details, submit required records, and review terms if approved. Processing speed depends on file readiness.","","","","","Start Your Application","/apply","Process","3","true"
"construction-contractor-funding","","use_of_funds_card","Common funding uses in Construction Contractor","Contractors often allocate funding to labor, subcontractors, materials, equipment, and project cash-flow timing needs.","","","","","Start Your Application","/apply","Common Need","1","true"
"construction-contractor-funding","","qualification_card","What Construction Contractor operators should have ready","Prepare recent bank statements, revenue records, and a project-aware use-of-funds plan for labor, materials, and equipment obligations.","","","","","Talk With Our Team","/contact","Preparation","2","true"
"construction-contractor-funding","","process_card","How the review process works","Submit an application, provide requested operating and financial records, and review terms if qualified. Final timing depends on underwriting review.","","","","","Start Your Application","/apply","Process","3","true"
